client_id_location_id,operational_start_date,client_id,location_id,source,quarter_label,state,region,city,quarter_month_number,client_type,street,zip,month_number,quarter_number,year_number,calendar_month,wash_count_retail,wash_count_membership,wash_count_total,site_client_id,site_count,address,period_index,calendar_day,year_month,Address,day_number,day_of_week,day_of_week_feature,region_enc,state_enc,latitude,longitude,prev_wash_count,last_week_same_day,running_avg_7_days,dbscan_cluster_12km,dbscan_cluster_18km
360carwash_1,2024-02-19,360 Car Wash,1,control,1_1,TX,South,Seagoville,1_1,single_site,180 South US-175,75159,1,1.0,1,1704153600.0,48.0,0.0,48.0,1.0,1.0,"360 Car Wash , 180 South US-175 , Seagoville , TX , 75159",1,2024-01-01,2024-01,"360 Car Wash , 180 South US-175 , Seagoville , TX , 75159",1.0,monthly_panel,0,2.0,32.0,32.6466149,-96.5333187,,,,0,0
360carwash_1,2024-02-19,360 Car Wash,1,control,1_1,TX,South,Seagoville,1_2,single_site,180 South US-175,75159,2,1.0,1,1704240000.0,4607.0,2415.0,7022.0,1.0,1.0,"360 Car Wash , 180 South US-175 , Seagoville , TX , 75159",2,2024-02-01,2024-02,"360 Car Wash , 180 South US-175 , Seagoville , TX , 75159",2.0,monthly_panel,1,2.0,32.0,32.6466149,-96.5333187,48.0,,48.0,0,0
360carwash_1,2024-02-19,360 Car Wash,1,control,1_1,TX,South,Seagoville,1_3,single_site,180 South US-175,75159,3,1.0,1,1704326400.0,4498.0,5463.0,9961.0,1.0,1.0,"360 Car Wash , 180 South US-175 , Seagoville , TX , 75159",3,2024-03-01,2024-03,"360 Car Wash , 180 South US-175 , Seagoville , TX , 75159",3.0,monthly_panel,2,2.0,32.0,32.6466149,-96.5333187,7022.0,,3535.0,0,0
360carwash_1,2024-02-19,360 Car Wash,1,control,1_2,TX,South,Seagoville,2_4,single_site,180 South US-175,75159,4,2.0,1,1704412800.0,3789.0,6260.0,10049.0,1.0,1.0,"360 Car Wash , 180 South US-175 , Seagoville , TX , 75159",4,2024-04-01,2024-04,"360 Car Wash , 180 South US-175 , Seagoville , TX , 75159",4.0,monthly_panel,3,2.0,32.0,32.6466149,-96.5333187,9961.0,,5677.0,0,0
360carwash_1,2024-02-19,360 Car Wash,1,control,1_2,TX,South,Seagoville,2_5,single_site,180 South US-175,75159,5,2.0,1,1704499200.0,5102.0,7840.0,12942.0,1.0,1.0,"360 Car Wash , 180 South US-175 , Seagoville , TX , 75159",5,2024-05-01,2024-05,"360 Car Wash , 180 South US-175 , Seagoville , TX , 75159",5.0,monthly_panel,4,2.0,32.0,32.6466149,-96.5333187,10049.0,,9010.666666666666,0,0
360carwash_1,2024-02-19,360 Car Wash,1,control,1_2,TX,South,Seagoville,2_6,single_site,180 South US-175,75159,6,2.0,1,1704585600.0,4435.0,8808.0,13243.0,1.0,1.0,"360 Car Wash , 180 South US-175 , Seagoville , TX , 75159",6,2024-06-01,2024-06,"360 Car Wash , 180 South US-175 , Seagoville , TX , 75159",6.0,monthly_panel,5,2.0,32.0,32.6466149,-96.5333187,12942.0,,10984.0,0,0
360carwash_1,2024-02-19,360 Car Wash,1,control,1_3,TX,South,Seagoville,3_7,single_site,180 South US-175,75159,7,3.0,1,1704672000.0,6003.0,10632.0,16635.0,1.0,1.0,"360 Car Wash , 180 South US-175 , Seagoville , TX , 75159",7,2024-07-01,2024-07,"360 Car Wash , 180 South US-175 , Seagoville , TX , 75159",7.0,monthly_panel,6,2.0,32.0,32.6466149,-96.5333187,13243.0,,12078.0,0,0
360carwash_1,2024-02-19,360 Car Wash,1,control,1_3,TX,South,Seagoville,3_8,single_site,180 South US-175,75159,8,3.0,1,1704758400.0,4777.0,10287.0,15064.0,1.0,1.0,"360 Car Wash , 180 South US-175 , Seagoville , TX , 75159",8,2024-08-01,2024-08,"360 Car Wash , 180 South US-175 , Seagoville , TX , 75159",8.0,monthly_panel,7,2.0,32.0,32.6466149,-96.5333187,16635.0,,14273.333333333334,0,0
360carwash_1,2024-02-19,360 Car Wash,1,control,1_3,TX,South,Seagoville,3_9,single_site,180 South US-175,75159,9,3.0,1,1704844800.0,6434.0,11991.0,18425.0,1.0,1.0,"360 Car Wash , 180 South US-175 , Seagoville , TX , 75159",9,2024-09-01,2024-09,"360 Car Wash , 180 South US-175 , Seagoville , TX , 75159",9.0,monthly_panel,8,2.0,32.0,32.6466149,-96.5333187,15064.0,,14980.666666666666,0,0
360carwash_1,2024-02-19,360 Car Wash,1,control,1_4,TX,South,Seagoville,4_10,single_site,180 South US-175,75159,10,4.0,1,1704931200.0,4152.0,9964.0,14116.0,1.0,1.0,"360 Car Wash , 180 South US-175 , Seagoville , TX , 75159",10,2024-10-01,2024-10,"360 Car Wash , 180 South US-175 , Seagoville , TX , 75159",10.0,monthly_panel,9,2.0,32.0,32.6466149,-96.5333187,18425.0,,16708.0,0,0
